Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BOOT","BOOT","SW_Push_1P1T_NO_6x6mm_H9.5mm",-223.820000,-18.005000,180.000000,bottom
"C1","10u","C_0805_2012Metric",-26.650000,-30.025000,0.000000,bottom
"C2","22pf","C_0805_2012Metric",-221.310000,-57.245000,-135.000000,bottom
"C3","22pf","C_0805_2012Metric",-216.780000,-52.705000,-135.000000,bottom
"C4","10u","C_0805_2012Metric",-34.850000,-27.155000,-90.000000,bottom
"C5","100n","C_0805_2012Metric",-201.160000,-31.635000,180.000000,bottom
"C6","100n","C_0805_2012Metric",-232.360000,-41.405000,180.000000,bottom
"C7","100n","C_0805_2012Metric",-232.360000,-43.465000,180.000000,bottom
"C8","1u","C_0805_2012Metric",-232.370000,-45.525000,180.000000,bottom
"C9","100n","C_0805_2012Metric",-218.610000,-35.385000,180.000000,bottom
"C10","1u","C_0805_2012Metric",-218.610000,-37.445000,180.000000,bottom
"C11","100n","C_0805_2012Metric",-218.610000,-33.335000,180.000000,bottom
"C12","100n","C_0805_2012Metric",-218.610000,-31.285000,180.000000,bottom
"C13","100n","C_0805_2012Metric",-218.610000,-29.255000,180.000000,bottom
"C14","100n","C_0805_2012Metric",-218.630000,-27.205000,180.000000,bottom
"C15","10u","C_0805_2012Metric",-201.180000,-29.545000,180.000000,bottom
"D1","BAV70","SOT-23",-52.920000,-3.550000,45.000000,bottom
"D2","BAV70","SOT-23",-52.920000,-11.150000,-45.000000,bottom
"D3","BAV70","SOT-23",-52.930000,-41.605000,45.000000,bottom
"D4","BAV70","SOT-23",-52.930000,-49.165000,-45.000000,bottom
"D5","BAV70","SOT-23",-99.470000,-80.025000,45.000000,bottom
"D6","BAV70","SOT-23",-42.345000,-3.525000,135.000000,bottom
"D7","BAV70","SOT-23",-42.720000,-11.150000,-135.000000,bottom
"D8","BAV70","SOT-23",-42.340000,-41.605000,45.000000,bottom
"D9","BAV70","SOT-23",-42.340000,-49.175000,-135.000000,bottom
"D10","BAV70","SOT-23",-95.245000,-78.250000,0.000000,bottom
"D11","BAV70","SOT-23",-102.290000,-3.525000,135.000000,bottom
"D12","BAV70","SOT-23",-102.300000,-11.105000,-135.000000,bottom
"D13","BAV70","SOT-23",-102.300000,-41.695000,135.000000,bottom
"D14","BAV70","SOT-23",-102.300000,-49.135000,-135.000000,bottom
"D15","BAV70","SOT-23",-95.245000,-74.000000,0.000000,bottom
"D16","BAV70","SOT-23",-107.240000,-3.525000,45.000000,bottom
"D17","BAV70","SOT-23",-107.240000,-11.105000,-45.000000,bottom
"D18","BAV70","SOT-23",-107.240000,-41.695000,45.000000,bottom
"D19","BAV70","SOT-23",-107.240000,-49.135000,-45.000000,bottom
"D20","BAV70","SOT-23",-114.270000,-74.000000,180.000000,bottom
"D21","BAV70","SOT-23",-156.620000,-3.525000,135.000000,bottom
"D22","BAV70","SOT-23",-156.600000,-11.105000,-135.000000,bottom
"D23","BAV70","SOT-23",-156.620000,-41.655000,135.000000,bottom
"D24","BAV70","SOT-23",-156.620000,-49.135000,-135.000000,bottom
"D25","BAV70","SOT-23",-114.295000,-78.250000,180.000000,bottom
"D26","BAV70","SOT-23",-167.220000,-3.545000,45.000000,bottom
"D27","BAV70","SOT-23",-167.200000,-11.105000,-45.000000,bottom
"D28","BAV70","SOT-23",-167.220000,-41.655000,45.000000,bottom
"D29","BAV70","SOT-23",-167.240000,-49.135000,-45.000000,bottom
"D30","BAV70","SOT-23",-110.045000,-80.025000,135.000000,bottom
"D31","BAV70","SOT-23",-242.360000,-3.535000,135.000000,bottom
"D32","BAV70","SOT-23",-242.370000,-11.105000,-135.000000,bottom
"D33","BAV70","SOT-23",-242.370000,-41.665000,135.000000,bottom
"D34","BAV70","SOT-23",-242.350000,-49.135000,-135.000000,bottom
"D35","BAV70","SOT-23",-225.120000,-77.175000,180.000000,bottom
"D36","BAV70","SOT-23",-252.940000,-3.535000,45.000000,bottom
"D37","BAV70","SOT-23",-252.930000,-11.105000,-45.000000,bottom
"D38","BAV70","SOT-23",-252.930000,-41.645000,45.000000,bottom
"D39","BAV70","SOT-23",-252.940000,-49.135000,-45.000000,bottom
"D40","BAV70","SOT-23",-225.120000,-80.875000,180.000000,bottom
"F0","polyfuse","Fuse_1206_3216Metric",-26.380000,1.885000,-90.000000,bottom
"G***","LOGO","vial_logo",-236.015600,-61.728229,180.000000,bottom
"G***","LOGO","qmk",-264.889694,-61.643251,180.000000,bottom
"J0","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-28.550000,10.195000,0.000000,bottom
"J1","BREAKOUT","PinSocket_1x05_P2.54mm_Vertical",-213.220000,-47.600000,90.000000,bottom
"R1","1k","R_0805_2012Metric",-220.500000,-22.345000,180.000000,bottom
"R3","27","R_0805_2012Metric",-201.160000,-22.565000,0.000000,bottom
"R4","27","R_0805_2012Metric",-201.160000,-24.585000,0.000000,bottom
"R5","1k","R_0805_2012Metric",-215.330000,-51.265000,-135.000000,bottom
"R6","5.1k","R_0805_2012Metric",-37.800000,7.075000,0.000000,bottom
"R7","5.1k","R_0805_2012Metric",-18.750000,7.075000,180.000000,bottom
"R8","10k","R_0805_2012Metric",-201.190000,-27.215000,180.000000,bottom
"RESET","RESET","SW_Push_1P1T_NO_6x6mm_H9.5mm",-223.810000,-11.290000,0.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",-29.360000,-25.255000,0.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-225.230000,-31.375000,-90.000000,bottom
"U3","RP2040","RP2040-QFN-56",-224.830000,-48.365000,135.000000,bottom
"U44","SRV05-4","SOT-23-6",-29.860000,2.425000,180.000000,bottom
"Y0","12MHZ Crystal ","Crystal_SMD_3225-4Pin_3.2x2.5mm",-219.050000,-54.975000,-45.000000,bottom
